iter	RMSE
0	9.229459063
1	8.884848644
2	8.560051641
3	8.26147226
4	7.975006488
5	7.711311954
6	7.456207609
7	7.217102724
8	6.992062916
9	6.782090494
10	6.58991067
11	6.406410059
12	6.231832738
13	6.069201831
14	5.919412016
15	5.778678359
16	5.646073605
17	5.522179258
18	5.402769046
19	5.29323989
20	5.19350408
21	5.096825838
22	5.008763462
23	4.925182233
24	4.84986517
25	4.776694306
26	4.709207936
27	4.648630537
28	4.589455996
29	4.537273421
30	4.489012044
31	4.43981724
32	4.393223657
33	4.352282074
34	4.312783126
35	4.276599885
36	4.243501932
37	4.214159179
38	4.184497154
39	4.157668923
40	4.131357592
41	4.107714065
42	4.086996216
43	4.06579175
44	4.044895783
45	4.024631254
46	4.004147543
47	3.988352091
48	3.972464458
49	3.956863922
50	3.942270869
51	3.927636327
52	3.915075786
53	3.903855979
54	3.893725825
55	3.88418986
56	3.873488108
57	3.863401201
58	3.855249341
59	3.842461925
60	3.831373788
61	3.823201908
62	3.81602952
63	3.805710556
64	3.795839016
65	3.789746004
66	3.784341017
67	3.778596097
68	3.773612803
69	3.769185138
70	3.760377473
71	3.749833928
72	3.745364719
73	3.740874826
74	3.736340731
75	3.732636076
76	3.723935973
77	3.71926086
78	3.715566708
79	3.708245462
80	3.70472248
81	3.70023344
82	3.696923649
83	3.693723018
84	3.68726169
85	3.683397267
86	3.679799718
87	3.671325898
88	3.668724212
89	3.665806812
90	3.663822877
91	3.660725862
92	3.657034524
93	3.651244347
94	3.648514418
95	3.646083432
96	3.642433164
97	3.640170333
98	3.634019313
99	3.631160769
100	3.624630257
101	3.622756566
102	3.620313452
103	3.615037112
104	3.612597964
105	3.607750596
106	3.603287224
107	3.598296423
108	3.595433484
109	3.589806325
110	3.587872798
111	3.586067562
112	3.584008411
113	3.579142899
114	3.574258841
115	3.572761159
116	3.568049071
117	3.566155769
118	3.563616783
119	3.562278565
120	3.560122099
121	3.558201797
122	3.556630139
123	3.553033515
124	3.551194439
125	3.549208873
126	3.547677475
127	3.545960875
128	3.544228845
129	3.542715248
130	3.54098276
131	3.53946675
132	3.534658146
133	3.533113496
134	3.528634536
135	3.526271097
136	3.525102288
137	3.523238685
138	3.522069799
139	3.518403662
140	3.515471732
141	3.511389533
142	3.507559163
143	3.506508217
144	3.505484113
145	3.501769319
146	3.497645543
147	3.494540758
148	3.491875975
149	3.489471664
150	3.488543091
151	3.487524118
152	3.485422405
153	3.483740225
154	3.482682516
155	3.480298725
156	3.479466664
157	3.47827688
158	3.476131706
159	3.473634335
160	3.470702733
161	3.468738166
162	3.467851205
163	3.465810461
164	3.464499687
165	3.46372878
166	3.460327831
167	3.458753925
168	3.45655217
169	3.455564399
170	3.454431924
171	3.453281
172	3.451925073
173	3.450680802
174	3.449869318
175	3.449291105
176	3.447366178
177	3.446265308
178	3.442701146
179	3.441939923
180	3.438994408
181	3.437939463
182	3.434648955
183	3.433786121
184	3.433108837
185	3.431944927
186	3.431010042
187	3.429517548
188	3.427969123
189	3.424489618
190	3.423576762
191	3.421729745
192	3.420912644
193	3.418131824
194	3.417522644
195	3.416733885
196	3.414686149
197	3.411965498
198	3.409320723
199	3.4075145
200	3.404405877
201	3.403647461
202	3.401682482
203	3.401179293
204	3.399666019
205	3.398235912
206	3.397380564
207	3.395255476
208	3.394326708
209	3.393437384
210	3.393052582
211	3.391777655
212	3.391281966
213	3.389979382
214	3.38916992
215	3.388657449
216	3.387821506
