iter	Passed	Remaining
0	6	3298
1	7	1834
2	7	1293
3	8	1020
4	8	853
5	9	744
6	9	664
7	9	596
8	10	585
9	11	547
10	12	538
11	12	520
12	13	494
13	13	475
14	14	458
15	14	441
16	15	426
17	23	620
18	23	598
19	24	578
20	24	559
21	24	542
22	26	548
23	26	534
24	27	519
25	27	507
26	28	502
27	29	491
28	29	480
29	29	469
30	30	459
31	30	448
32	31	439
33	31	430
34	31	422
35	32	414
36	32	407
37	32	400
38	33	393
39	33	387
40	34	381
41	34	376
42	34	370
43	35	365
44	35	360
45	35	355
46	36	350
47	36	345
48	37	341
49	37	337
50	37	332
51	38	328
52	38	324
53	38	320
54	39	316
55	39	312
56	39	308
57	40	305
58	40	303
59	41	300
60	41	297
61	41	294
62	42	292
63	42	289
64	42	286
65	43	284
66	43	281
67	43	278
68	44	276
69	44	273
70	44	271
71	45	269
72	45	267
73	46	264
74	46	262
75	46	260
76	47	262
77	48	261
78	48	260
79	49	258
80	49	257
81	50	255
82	50	253
83	50	252
84	51	250
85	51	248
86	51	246
87	52	244
88	52	243
89	53	241
90	53	240
91	53	238
92	54	237
93	54	235
94	55	235
95	55	234
96	56	233
97	56	231
98	56	230
99	57	228
100	57	227
101	57	225
102	58	224
103	58	223
104	58	221
105	59	220
106	59	219
107	60	217
108	60	216
109	60	215
110	61	214
111	61	212
112	61	211
113	62	210
114	62	209
115	62	208
116	63	207
117	63	206
118	64	205
119	64	204
120	64	203
121	65	202
122	65	201
123	66	200
124	66	199
125	66	197
126	67	196
127	67	195
128	67	194
129	68	193
130	68	192
131	68	191
132	69	190
133	69	189
134	69	188
135	70	188
136	70	187
137	71	186
138	71	185
139	71	184
140	72	184
141	72	183
142	72	182
143	73	181
144	73	180
145	74	179
146	74	178
147	74	178
148	75	177
149	75	176
150	75	175
151	76	174
152	76	174
153	77	173
154	77	172
155	77	171
156	78	171
157	78	170
158	79	169
159	79	169
160	79	168
161	80	167
162	80	166
163	81	165
164	81	165
165	81	164
166	82	163
167	82	162
168	82	162
169	83	161
170	83	160
171	83	159
172	84	159
173	84	158
174	85	158
175	85	157
176	85	156
177	86	156
178	86	155
179	86	154
180	87	153
181	87	153
182	88	152
183	88	151
184	89	151
185	89	151
186	90	150
187	90	150
188	90	149
189	91	148
190	91	148
191	91	147
192	92	146
193	92	145
194	92	145
195	93	144
196	93	143
197	93	143
198	94	142
199	94	141
200	94	141
201	95	140
202	95	139
203	95	139
204	96	138
205	96	137
206	96	137
207	97	136
208	97	135
209	97	135
210	98	134
211	98	134
212	98	133
213	99	132
214	99	132
215	100	131
216	100	131
217	100	130
218	101	130
219	101	129
220	102	128
221	102	128
222	102	127
223	103	127
224	103	126
225	103	125
226	104	125
227	104	124
228	104	124
229	105	123
230	105	122
231	105	122
232	106	121
233	106	121
234	107	120
235	107	120
236	107	119
237	108	118
238	108	118
239	108	117
240	109	117
241	109	116
242	110	116
243	110	115
244	110	115
245	111	114
246	111	114
247	111	113
248	112	113
249	112	112
250	112	111
251	113	111
252	113	110
253	113	110
254	114	109
255	114	109
256	115	108
257	115	108
258	115	107
259	116	107
260	117	107
261	117	106
262	117	106
263	118	105
264	118	105
265	118	104
266	119	103
267	119	103
268	119	103
269	120	102
270	120	102
271	121	101
272	121	100
273	121	100
274	122	99
275	122	99
276	122	98
277	123	98
278	123	97
279	123	97
280	124	96
281	124	96
282	125	95
283	125	95
284	125	94
285	126	94
286	126	93
287	126	93
288	127	92
289	127	92
290	127	91
291	128	91
292	128	90
293	128	90
294	129	89
295	129	89
296	130	89
297	130	88
298	131	88
299	131	87
300	131	87
301	132	86
302	132	86
303	133	85
304	133	85
305	133	84
306	134	84
307	134	83
308	134	83
309	135	82
310	135	82
