S0,K_autocall_frac,coupon_barrier_frac,knock_in_frac,coupon_rate,r,sigma,T,obs_count,n_mc,algo,price,time,var,model_price,model_time,abs_error_model_vs_mc,rel_error_model_vs_mc,note
100.0,1.05,1.0,0.7,0.02,0.03,0.2,1.0,6,500,MC,0.9703058898205486,0.008007049560546875,0.005259358617832185,,,,,
100.0,1.05,1.0,0.7,0.02,0.03,0.2,1.0,6,500,LightGBM,,,,0.6946178333509806,0.0005087852478027344,0.27568805646956795,0.28412489232705224,ok
100.0,1.05,1.0,0.7,0.02,0.03,0.2,1.0,6,500,XGBoost,,,,0.6942039728164673,0.0010039806365966797,0.27610191700408127,0.28455141816684676,ok
100.0,1.05,1.0,0.7,0.02,0.03,0.2,1.0,6,500,CatBoost,,,,0.6945877482447538,0.0010030269622802734,0.2757181415757948,0.284155898122794,ok
100.0,1.05,1.0,0.7,0.02,0.03,0.2,1.0,6,2000,MC,0.9712632023090496,0.03503775596618652,0.005273175947732659,,,,,
100.0,1.05,1.0,0.7,0.02,0.03,0.2,1.0,6,2000,LightGBM,,,,0.6946178333509806,0.0,0.276645368958069,0.28483048498118874,ok
100.0,1.05,1.0,0.7,0.02,0.03,0.2,1.0,6,2000,XGBoost,,,,0.6942039728164673,0.0009989738464355469,0.2770592294925823,0.28525659042153634,ok
100.0,1.05,1.0,0.7,0.02,0.03,0.2,1.0,6,2000,CatBoost,,,,0.6945877482447538,0.0005021095275878906,0.27667545406429583,0.2848614602164857,ok
100.0,1.05,1.0,0.7,0.02,0.03,0.2,1.0,6,8000,MC,0.970559709286407,0.11894083023071289,0.0055777571312169835,,,,,
100.0,1.05,1.0,0.7,0.02,0.03,0.2,1.0,6,8000,LightGBM,,,,0.6946178333509806,0.0009984970092773438,0.2759418759354264,0.2843121070194739,ok
100.0,1.05,1.0,0.7,0.02,0.03,0.2,1.0,6,8000,XGBoost,,,,0.6942039728164673,0.0005023479461669922,0.2763557364699397,0.2847385213148062,ok
100.0,1.05,1.0,0.7,0.02,0.03,0.2,1.0,6,8000,CatBoost,,,,0.6945877482447538,0.0010042190551757812,0.2759719610416532,0.2843431047066218,ok
100.0,1.0,0.95,0.6,0.015,0.01,0.25,2.0,8,500,MC,0.9530584649216803,0.007508754730224609,0.018676327766185805,,,,,
100.0,1.0,0.95,0.6,0.015,0.01,0.25,2.0,8,500,LightGBM,,,,0.687069680675098,0.0,0.26598878424658234,0.27908968236113463,ok
100.0,1.0,0.95,0.6,0.015,0.01,0.25,2.0,8,500,XGBoost,,,,0.6904125213623047,0.0009999275207519531,0.26264594355937565,0.2755821948246996,ok
100.0,1.0,0.95,0.6,0.015,0.01,0.25,2.0,8,500,CatBoost,,,,0.6853491739385441,0.0005040168762207031,0.2677092909831362,0.28089493020256195,ok
100.0,1.0,0.95,0.6,0.015,0.01,0.25,2.0,8,2000,MC,0.9527799837340521,0.03421616554260254,0.018952407732887772,,,,,
100.0,1.0,0.95,0.6,0.015,0.01,0.25,2.0,8,2000,LightGBM,,,,0.687069680675098,0.0009987354278564453,0.26571030305895416,0.278878972685389,ok
100.0,1.0,0.95,0.6,0.015,0.01,0.25,2.0,8,2000,XGBoost,,,,0.6904125213623047,0.0,0.26236746237174746,0.27537045997072673,ok
100.0,1.0,0.95,0.6,0.015,0.01,0.25,2.0,8,2000,CatBoost,,,,0.6853491739385441,0.001001119613647461,0.26743080979550804,0.280684748169684,ok
100.0,1.0,0.95,0.6,0.015,0.01,0.25,2.0,8,8000,MC,0.9538293333249628,0.12166452407836914,0.01898173489490408,,,,,
100.0,1.0,0.95,0.6,0.015,0.01,0.25,2.0,8,8000,LightGBM,,,,0.687069680675098,0.0,0.2667596526498648,0.27967230963632117,ok
100.0,1.0,0.95,0.6,0.015,0.01,0.25,2.0,8,8000,XGBoost,,,,0.6904125213623047,0.0010004043579101562,0.2634168119626581,0.2761676567907709,ok
100.0,1.0,0.95,0.6,0.015,0.01,0.25,2.0,8,8000,CatBoost,,,,0.6853491739385441,0.0,0.26848015938641867,0.28147609850760313,ok
